date,title,short_description,article_link,image,byline,alt,outlet
2020-04-28,"Tesla Cybertruck is coming to Jay Lenoâs Garage, Season Premiere set for May 20",A preview for the sixth season of Jay Leno’s Garage included a cameo of the Tesla Cybertruck and some never-before-seen footage of...,https://www.teslarati.com/tesla-cybertruck-jay-lenos-garage-season-6-may-20/,https://www.teslarati.com/wp-content/uploads/2020/04/tesla-cyberatv-jay-leno-garage-1000x600.png,,Image not found,Teslarati
2020-04-28,How a Tesla Model S for kids became every gamer’s envy,"The Tesla Model S for Kids from Radio Flyer has gone under the ultimate transformation to become a fully-functional, liquid-cooled, high-performance gaming...",https://www.teslarati.com/tesla-model-s-for-kids-gaming-pc/,https://www.teslarati.com/wp-content/uploads/2020/04/tesla-model-s-for-kids-gaming-pc-1000x600.jpg,,Image not found,Teslarati
2020-04-28,"Polestar 2 receives top marks in crash safety tests, living up to its Volvo roots","Volvo-owned Polestar recently tested the crash safety of its newest vehicle, the Polestar 2. Tests indicated that the electric sedan has high...",https://www.teslarati.com/polestar-2-top-marks-crash-safety/,https://www.teslarati.com/wp-content/uploads/2020/04/polestar-2-crash-test-safety-1000x600.jpg,,Image not found,Teslarati
2020-04-28,SpaceX’s Starlink “VisorSat” launch plans revealed by Elon Musk,"CEO Elon Musk has revealed more details about SpaceX’s plans to build and launch upgraded “VisorSat” Starlink satellites, part of the company’s...",https://www.teslarati.com/spacex-starlink-visorsat-elon-musk-launch-plans/,https://www.teslarati.com/wp-content/uploads/2020/04/Starlink-satellite-bus-SpaceX-Teslarati-VisorSat-1-1000x600.jpg,,Image not found,Teslarati
2020-04-28,Tesla’s land purchase for Gigafactory Berlin finally gets finalized,"Tesla has officially paid for its 300-hectare landÂ  near GrÃ¼nheide in the state of Brandenburg, Germany, where the company’s Giga Berlin facility...",https://www.teslarati.com/tesla-finalizes-gigafactory-berlin-land-purchase/,https://www.teslarati.com/wp-content/uploads/2020/04/tesla-giga-berlin-land-clear-1000x600.jpeg,,Image not found,Teslarati
2020-04-28,Tesla Q1 2020 earnings call: What Wall St is expecting,"Tesla (NASDAQ: TSLA) is set to release its Q1 2020 financial results after markets close tomorrow, April 29, 2020. Following the release...",https://www.teslarati.com/tesla-q1-2020-earnings-call-what-wall-st-expectations/,https://www.teslarati.com/wp-content/uploads/2020/04/tesla-model-s-raven-1-1000x600.jpg,,Image not found,Teslarati
2020-04-28,Top 10 questions Tesla (TSLA) investors want answered in the Q1 2020 earnings call,Teslaâs (NASDAQ:TSLA) retail and institutional investors are aggregating a number of inquiries that will potentially be addressed by the electric car makerâs...,https://www.teslarati.com/tesla-tsla-q1-2020-earnings-call-top-10-questions/,https://www.teslarati.com/wp-content/uploads/2020/03/tesla-model-3--1000x600.jpg,,Image not found,Teslarati
2020-04-28,Tesla has a Full Self-Driving subscription feature hidden in its vehicles’ source code,There may come a time when Tesla’s Full Self-Driving suite becomes available as a pay-as-you-go subscription plan. While details about this possible...,https://www.teslarati.com/tesla-full-self-driving-subscription-confirmed/,https://www.teslarati.com/wp-content/uploads/2019/04/tesla-autonomy-day-1-1000x600.jpg,,Image not found,Teslarati
2020-04-27,SpaceX Starship passed “cryo proof” test for the first time and here’s what’s next,"Elon Musk says a SpaceX Starship prototype has passed a critical “cryo proof” test for the first time, opening the door for...",https://www.teslarati.com/spacex-starship-cryo-proof-test-whats-next/,https://www.teslarati.com/wp-content/uploads/2020/04/Starship-Boca-Chica-042620-NASASpaceflight-bocachicagal-SN4-cryo-proof-1-450x270.jpg,,Image not found,Teslarati
2020-04-27,Tesla short-sellers up in arms over latest Autopilot Traffic Light update,"Since the early days of the original Roadster, Tesla has been a company that warrants equal amounts of optimism and pessimism. As...",https://www.teslarati.com/tesla-critics-sabotage-autopilot-fsd-traffic-light-feature/,https://www.teslarati.com/wp-content/uploads/2020/04/tesla-traffic-light-control-warning-message-450x270.jpg,,Image not found,Teslarati
2020-04-27,Tesla could drop plans for Fremont factory’s restart amid extended Stay-at-Home orders,Tesla could drop its plans to call some workers back to the Fremont factory after counties in the San Francisco Bay Area...,https://www.teslarati.com/tesla-fremont-factory-ca-lockdown-update/,https://www.teslarati.com/wp-content/uploads/2018/06/tesla-fremont-factory-e1529561210353-450x270.jpg,,Image not found,Teslarati
2020-04-27,Tesla-inspired Xpeng Motors unveils Model 3 competitor despite Autopilot lawsuit,"China’s Xpeng Motors recently unveiled its answer to the Tesla Model 3, the P7 sedan. The vehicle is impressive, packing up to...",https://www.teslarati.com/tesla-xpeng-motors-model-3-rival-launch-autopilot-lawsuit/,https://www.teslarati.com/wp-content/uploads/2020/04/xpeng-motors-p7-china-450x270.jpg,,Image not found,Teslarati
2020-04-27,Tesla stock surges amid Fremont factory’s impending restart of production,"As Tesla (NASDAQ:TSLA) prepares to get back to work, investors are taking on a bullish stance on the company’s stock. Reports indicate...",https://www.teslarati.com/tesla-tsla-surges-fremont-factory-production-restart/,https://www.teslarati.com/wp-content/uploads/2019/11/tesla-fremont-factory-450x270.jpg,,Image not found,Teslarati
2020-04-27,Tesla’s million mile battery is a golden goose for large-scale energy projects,"Tesla Energy is a sleeping giant, rarely considered by analysts covering TSLA stock and largely underrated compared to the companyâs electric car...",https://www.teslarati.com/tesla-energy-million-mile-battery-golden-goose/,https://www.teslarati.com/wp-content/uploads/2019/07/Megapack_tesla-450x270.jpg,,Image not found,Teslarati
2020-04-27,Tesla’s software and full self-driving infrastructure has Volkswagen ‘worried’,Volkswagen CEO Herbert Diess is worried about Tesla’s lead in self-driving and software. In an internal Volkswagen e-mail that leaked this past...,https://www.teslarati.com/tesla-software-full-self-driving-worries-volkswagen/,https://www.teslarati.com/wp-content/uploads/2019/11/tesla-elon-musk-golden-steering-wheel-vw-herbert-diess-450x270.jpg,,Image not found,Teslarati
